frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1516393327,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00675132,0.599309,0.000976871,0.00375274,-0.154432,0.978727,0.135016,-19.7697,-62.6665,23.2847,0.368278,0.0826411,0.920702,0.0992426,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
2,1516393358,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00655047,0.599309,0.000655514,0.00369525,-0.154677,0.978609,0.135592,-19.7697,-62.6665,23.2847,0.368278,0.0826411,0.920702,0.0992426,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
3,1516393368,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00606843,0.599309,0.000414496,0.00369525,-0.154677,0.978609,0.135592,-19.7697,-62.6665,23.2847,0.368278,0.0826411,0.920702,0.0992426,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
4,1516393392,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00679148,0.599309,0.000735853,0.00369525,-0.154677,0.978609,0.135592,-19.7697,-62.6665,23.2847,0.368281,0.0828128,0.92062,0.0998527,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
5,1516393398,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00659064,0.599309,0.000976871,0.0042008,-0.155048,0.978565,0.135476,-19.7697,-62.6665,23.2847,0.367826,0.0832233,0.920775,0.0997605,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
6,1516393430,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00618894,0.599309,0.000896532,0.0042008,-0.155048,0.978565,0.135476,-19.7697,-62.6665,23.2847,0.367829,0.0833953,0.920692,0.10037,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
7,1516393438,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.0061086,0.599309,0.00153925,0.0042008,-0.155048,0.978565,0.135476,-19.7697,-62.6665,23.2847,0.367829,0.0833953,0.920692,0.10037,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
8,1516393448,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00647013,0.599309,0.00149908,0.00369525,-0.154677,0.978609,0.135592,-19.7697,-62.6665,23.2847,0.368287,0.0831562,0.920453,0.101073,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
9,1516393475,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00655047,0.599309,0.000856362,0.00369525,-0.154677,0.978609,0.135592,-19.7697,-62.6665,23.2847,0.368287,0.0831562,0.920453,0.101073,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
10,1516393488,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00638979,0.599309,0.000976871,0.00369525,-0.154677,0.978609,0.135592,-19.7697,-62.6665,23.2847,0.36829,0.0833278,0.920369,0.101683,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
11,1516393512,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00711284,0.599309,0.00105721,0.00363775,-0.154922,0.978491,0.136168,-19.7697,-62.6665,23.2847,0.36829,0.0833278,0.920369,0.101683,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
12,1516393518,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00562657,0.599309,0.000896532,0.00301232,-0.155009,0.978493,0.136068,-19.7697,-62.6665,23.2847,0.368287,0.0831562,0.920453,0.101073,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
13,1516393529,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00715301,0.599309,0.00137857,0.0029549,-0.155254,0.978374,0.136644,-19.7697,-62.6665,23.2847,0.368287,0.0831562,0.920453,0.101073,-50.1792,-58.4888,31.9351,-1.72215,0.422905,-0.285259,1.07837,26.7858,12.637
