frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1516642215,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00699233,0.599799,0.00121789,-0.0767051,-0.0922786,0.962233,0.244355,36.9667,-83.6566,-3.66845,0.238146,0.0345497,0.951226,0.193031,4.12368,-84.9524,13.9539,-1.72074,0.168015,0.577604,0,0,0
2,1516642248,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00751454,0.599799,0.00137857,-0.0761531,-0.0925986,0.962254,0.244322,36.9667,-83.6566,-3.66845,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.72074,0.168015,0.577604,0,0,0
3,1516642282,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00655047,0.599799,0.00121789,-0.0765073,-0.0923288,0.962248,0.244336,36.899,-83.6566,-3.65326,0.238146,0.0345497,0.951226,0.193031,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
4,1516642287,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00707267,0.599799,0.000976871,-0.0753402,-0.0924926,0.962318,0.244362,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
5,1516642315,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00711284,0.599799,0.00121789,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
6,1516642327,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00667098,0.599799,0.0013384,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
7,1516642338,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00667098,0.599799,0.0013384,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
8,1516642360,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00719318,0.599799,0.00105721,-0.0765073,-0.0923288,0.962248,0.244336,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
9,1516642368,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00675132,0.599799,0.00194094,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238146,0.0345497,0.951226,0.193031,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
10,1516642407,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00711284,0.599799,0.00161959,-0.0765073,-0.0923288,0.962248,0.244336,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
11,1516642434,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,1,0.599963,0.00715301,0.599799,0.00117772,-0.0765073,-0.0923288,0.962248,0.244336,36.899,-83.6566,-3.65326,0.23811,0.0346898,0.951106,0.193642,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
12,1516642438,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,1,0.599963,0.00663081,0.599799,0.00169992,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238146,0.0345497,0.951226,0.193031,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
13,1516642447,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164835,0.677543,0.679128,-0.229236,0.0998094,-0.0660113,-0.11157,1,0.599963,0.00671115,0.599799,0.00101704,-0.0765073,-0.0923288,0.962248,0.244336,36.899,-83.6566,-3.65326,0.23811,0.0346898,0.951106,0.193642,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
14,1516642473,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.166525,0.678821,0.678007,-0.227549,0.0998469,-0.065951,-0.11159,1,0.599963,0.00699233,0.600126,0.000856362,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
15,1516642480,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.167896,0.680174,0.676723,-0.226318,0.0998658,-0.065931,-0.111593,1,0.599963,0.00691199,0.600616,-2.73702e-05,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238718,0.0348136,0.950954,0.19362,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
16,1516642491,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.169364,0.681923,0.67501,-0.225076,0.0998835,-0.0659201,-0.11159,1,0.599963,0.00699233,0.600126,-0.000911102,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
17,1516642513,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.173253,0.687557,0.669323,-0.221934,0.0999213,-0.0659226,-0.111568,1,0.599963,0.00727352,0.600126,-0.000549576,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
18,1516642521,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.174472,0.689786,0.667114,-0.220711,0.0999324,-0.065927,-0.11156,1,0.599963,0.00671115,0.600289,9.31388e-05,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238718,0.0348136,0.950954,0.19362,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
19,1516642540,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.176938,0.695474,0.66162,-0.217412,0.0999554,-0.0659375,-0.11154,1,0.599963,0.00715301,0.599963,0.000293987,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238718,0.0348136,0.950954,0.19362,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
20,1516642547,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.177787,0.697985,0.659242,-0.215891,0.0999636,-0.0659419,-0.111533,1,0.599963,0.00663081,0.600126,-6.75398e-05,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
21,1516642561,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.179053,0.70256,0.654951,-0.213045,0.0999758,-0.0659497,-0.111521,1,0.599963,0.00655047,0.600289,-0.000107709,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238754,0.0346731,0.951074,0.193009,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
22,1516642570,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.17968,0.705427,0.652284,-0.211218,0.099982,-0.0659545,-0.111515,1,0.599963,0.00771539,0.599799,0.000856362,-0.0759553,-0.0926488,0.96227,0.244303,36.899,-83.6566,-3.65326,0.238718,0.0348136,0.950954,0.19362,4.12368,-84.9524,13.9539,-1.5853,0.168015,0.54723,0,0,0
