frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1554101893,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00361245,0.590162,0.00294518,-0.0120494,-0.0565986,0.945985,0.319005,17.3361,-98.2229,-15.6957,0.201259,0.0835534,0.967444,0.128707,-97.3675,-86.1741,13.9493,0.171354,0.575298,2.43034,1.37148,8.0898,3.62321
2,1554101903,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00325093,0.590162,0.00270417,-0.0120494,-0.0565986,0.945985,0.319005,17.3361,-98.2229,-15.6957,0.201259,0.0835534,0.967444,0.128707,-97.3675,-86.1741,13.9493,0.171354,0.575298,2.43034,1.37148,8.0898,3.62321
3,1554101933,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00313042,0.590162,0.00294518,-0.0120399,-0.0565278,0.946191,0.318405,17.3361,-98.2229,-15.6957,0.201131,0.0830691,0.967513,0.128707,-97.3675,-86.1741,13.9493,0.171354,0.575298,2.43034,1.37148,8.0898,3.62321
4,1554101943,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00369279,0.590162,0.00258366,-0.0131644,-0.055869,0.9464,0.317856,17.3361,-98.2229,-15.6957,0.201259,0.0835534,0.967444,0.128707,-97.3675,-86.1741,13.9493,0.171354,0.575298,2.43034,1.37148,8.0898,3.62321
5,1554101954,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00393381,0.590162,0.00262383,-0.0131553,-0.0557989,0.946606,0.317255,17.3361,-98.2229,-15.6957,0.201749,0.0831514,0.967384,0.128654,-97.3675,-86.1741,13.9493,0.171354,0.575298,2.43034,1.37148,8.0898,3.62321
6,1554101981,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00377313,0.590162,0.00234264,-0.013732,-0.0554544,0.946875,0.316488,17.3421,-98.2144,-15.6423,0.201776,0.083208,0.967399,0.128461,-97.3882,-86.0354,13.9879,0.161483,0.561556,2.3434,1.37148,8.0898,3.62321
7,1554102001,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.0032911,0.590162,0.002664,-0.014308,-0.0552303,0.946669,0.317115,17.3416,-98.1602,-15.6465,0.201776,0.083208,0.967399,0.128461,-97.3878,-85.981,13.9872,0.161483,0.561556,2.3434,1.37148,8.0898,3.62321
8,1554102014,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00292957,0.590162,0.002664,-0.014308,-0.0552303,0.946669,0.317115,17.3416,-98.1602,-15.6465,0.201804,0.0832646,0.967414,0.128267,-97.4088,-85.8967,14.0265,0.162248,0.473124,2.35014,1.37148,8.0898,3.62321
9,1554102024,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00353211,0.590162,0.00250332,-0.0137029,-0.0550276,0.946678,0.31715,17.3416,-98.1602,-15.6465,0.201804,0.0832646,0.967414,0.128267,-97.4088,-85.8967,14.0265,0.162248,0.473124,2.35014,1.37148,8.0898,3.62321
10,1554102044,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00284923,0.590162,0.00262383,-0.014345,-0.0552681,0.946795,0.316731,17.3533,-98.089,-15.544,0.202057,0.0833515,0.967402,0.127898,-97.5261,-85.7824,14.0656,0.153145,0.370914,2.26998,1.37148,8.0898,3.62321
11,1554102050,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00333127,0.590162,0.00218196,-0.0143634,-0.0552869,0.946858,0.316539,17.3593,-98.0805,-15.4906,0.202112,0.0834647,0.967432,0.127512,-97.5684,-85.6681,14.1448,0.143271,0.357097,2.18305,1.37148,8.0898,3.62321
12,1554102059,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00369279,0.590162,0.00290501,-0.0143731,-0.0552364,0.947126,0.315746,17.3649,-98.0177,-15.4415,0.202338,0.0834951,0.967406,0.127336,-97.664,-85.5293,14.143,0.1334,0.343231,2.09613,1.37148,8.0898,3.62321
13,1554102073,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00369279,0.590162,0.00246315,-0.0143915,-0.0552553,0.947188,0.315554,17.371,-98.0092,-15.3882,0.202365,0.0835518,0.96742,0.127142,-97.6853,-85.4993,14.183,0.124303,0.240921,2.01602,1.37148,8.0898,3.62321
14,1554102092,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00309025,0.590162,0.00262383,-0.0142336,-0.0553578,0.947316,0.315158,17.3197,-97.9378,-15.2786,0.202419,0.0836651,0.96745,0.126756,-97.7276,-85.3848,14.262,0.114432,0.226993,1.92911,1.37148,8.0898,3.62321
15,1554102098,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00365262,0.590162,0.00206145,-0.0142798,-0.0553448,0.947708,0.31398,17.3373,-97.8576,-15.1229,0.203072,0.0836013,0.967477,0.125542,-97.8557,-85.204,14.5012,0.178403,0.0824998,1.57672,1.37148,8.0898,3.62321
16,1554102132,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00321076,0.590162,0.00282467,-0.0137592,-0.0557467,0.947628,0.314172,17.3474,-97.6233,-15.0334,0.203261,0.083997,0.967578,0.124189,-98.0048,-84.9923,14.7798,0.169349,-0.0200218,1.49672,1.37148,8.0898,3.62321
17,1554102144,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.595226,-0.00353211,0.590162,0.00274434,-0.0131719,-0.0555649,0.947699,0.314015,17.353,-97.5603,-14.9844,0.203803,0.0837056,0.967545,0.123748,-98.0469,-84.8773,14.8585,0.143812,-0.5046,1.27102,1.37148,8.0898,3.62321
18,1554102170,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,1,0.595226,-0.00349194,0.590162,0.00234264,-0.0137661,-0.0553579,0.947559,0.31445,17.3565,-97.2804,-14.9531,0.203857,0.0838184,0.967574,0.123361,-98.0889,-84.7621,14.9371,0.138039,-0.960824,1.21999,1.37148,8.0898,3.62321
19,1554102184,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164974,0.677646,0.679037,-0.229102,0.0998117,-0.0660074,-0.11157,1,0.595226,-0.00345178,0.590162,0.00242298,-0.0131882,-0.0552446,0.947426,0.314895,17.362,-97.2175,-14.9043,0.203619,0.0838679,0.967702,0.122712,-98.0135,-84.7621,14.9774,0.129035,-1.06349,1.1404,1.37148,8.0898,3.62321
20,1554102214,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.167955,0.680272,0.677164,-0.224656,0.0998243,-0.0660027,-0.111559,1,0.595226,-0.00373296,0.590489,0.00149908,-0.0137909,-0.0549864,0.947551,0.314536,17.3731,-97.0914,-14.8067,0.203497,0.0836195,0.967867,0.121781,-97.808,-84.6773,15.137,0.111037,-1.26894,0.981358,1.37148,8.0898,3.62321
21,1554102221,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.169421,0.68188,0.676211,-0.221528,0.099827,-0.0660006,-0.111554,1,0.595226,-0.00300991,0.589835,0.00298535,-0.01376,-0.0544406,0.947827,0.313802,17.3791,-97.0826,-14.7535,0.203126,0.0837257,0.967964,0.121553,-97.6782,-84.6469,15.2571,0.101213,-1.28332,0.894518,1.37148,8.0898,3.62321
22,1554102231,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.1707,0.68393,0.674973,-0.217976,0.0998282,-0.0659977,-0.111549,1,0.595226,-0.00357228,0.590325,0.00230247,-0.0137782,-0.0544595,0.947889,0.313609,17.3846,-97.0195,-14.7047,0.202266,0.084236,0.968122,0.121379,-97.5483,-84.6165,15.3772,0.101213,-1.28332,0.894518,1.37148,8.0898,3.62321
23,1554102251,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.171667,0.686118,0.673629,-0.214467,0.0998277,-0.0659941,-0.111545,1,0.595226,-0.00397398,0.590815,0.000454666,-0.0137782,-0.0544595,0.947889,0.313609,17.3841,-96.9653,-14.7093,0.202157,0.0839065,0.968186,0.121273,-97.3216,-84.6165,15.4974,0.093061,-1.4745,0.82248,1.37148,8.0898,3.62321
24,1554102263,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.1732,0.692115,0.669821,-0.205713,0.0998196,-0.0659829,-0.111536,1,0.595226,-0.00393381,0.590489,0.000976871,-0.0137871,-0.0544109,0.948154,0.312815,17.3901,-96.9564,-14.656,0.201175,0.084165,0.968506,0.120168,-96.9854,-84.5556,15.7767,0.0832367,-1.48896,0.735653,1.37148,8.0898,3.62321
25,1554102274,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.173668,0.695827,0.667395,-0.200621,0.0998118,-0.0659752,-0.111532,1,0.595226,-0.0032911,0.590652,0.000655514,-0.0137739,-0.0538861,0.94849,0.311887,17.4022,-96.9386,-14.5495,0.200777,0.0842144,0.968589,0.120133,-96.8339,-84.5556,15.8564,0.063591,-1.51799,0.562012,1.37148,8.0898,3.62321
26,1554102302,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.173987,0.704241,0.661687,-0.189585,0.0997906,-0.0659575,-0.111524,1,0.595226,-0.00393381,0.590815,-2.73702e-05,-0.0137733,-0.0537715,0.948955,0.310489,17.4082,-96.9297,-14.4962,0.200432,0.0843749,0.968699,0.119711,-96.7232,-84.3858,16.0138,0.0537667,-1.53256,0.475201,1.37148,8.0898,3.62321
27,1554102311,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.173505,0.714495,0.654352,-0.176683,0.0997637,-0.0659354,-0.111512,1,0.595226,-0.00409449,0.590652,0.000655514,-0.0131751,-0.0535256,0.949226,0.309728,17.4142,-96.9207,-14.443,0.200298,0.0846434,0.968878,0.118287,-96.7288,-84.046,16.2088,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
28,1554102338,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.171262,0.731964,0.640932,-0.155255,0.0997171,-0.0658916,-0.111481,1,0.595226,-0.0032911,0.590652,0.000615344,-0.0119821,-0.0534897,0.949633,0.308532,17.4142,-96.9207,-14.443,0.199126,0.0853867,0.969379,0.115594,-96.4002,-83.3585,16.8767,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
29,1554102356,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.169958,0.739058,0.635155,-0.146579,0.0996949,-0.0658687,-0.111464,1,0.595226,-0.00284923,0.590652,0.000494835,-0.0113651,-0.0532264,0.949841,0.307962,17.4142,-96.9207,-14.443,0.198434,0.0857018,0.969594,0.114747,-96.176,-83.0721,17.1904,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
30,1554102374,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.16706,0.752609,0.623558,-0.129794,0.0996414,-0.0658109,-0.111419,1,0.595226,-0.00353211,0.590652,-0.000228218,-0.0113651,-0.0532264,0.949841,0.307962,17.4142,-96.9207,-14.443,0.197049,0.0863279,0.97002,0.113054,-95.7225,-82.3353,17.8119,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
