frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1516772217,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,4.29841e-05,0.599963,0.000575175,-0.087291,-0.144944,0.957348,0.234213,5.43858,-71.0935,-3.08269,0.242861,-0.0699192,0.944532,0.209736,-32.6789,-65.8071,14.5389,1.08033,0.736511,-0.231412,6.98589,18.4802,1.15077
2,1516772224,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000519391,0.599963,0.00165976,-0.0866791,-0.144794,0.957404,0.234305,5.43858,-71.0935,-3.08269,0.242372,-0.0695354,0.944681,0.209757,-32.6789,-65.8071,14.5389,0.944408,0.736511,-0.226967,6.98589,18.4802,1.15077
3,1516772235,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000840748,0.599963,0.000293987,-0.087291,-0.144944,0.957348,0.234213,5.43858,-71.0935,-3.08269,0.242372,-0.0695354,0.944681,0.209757,-32.6789,-65.8071,14.5389,0.944408,0.736511,-0.226967,6.98589,18.4802,1.15077
4,1516772244,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000880918,0.599963,0.00137857,-0.0873067,-0.145168,0.957173,0.234785,5.43858,-71.0935,-3.08269,0.242372,-0.0695354,0.944681,0.209757,-32.6789,-65.8071,14.5389,0.944408,0.736511,-0.226967,6.98589,18.4802,1.15077
5,1516772280,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000720239,0.599963,0.00157942,-0.0880674,-0.145032,0.956952,0.235485,5.507,-71.1461,-3.07114,0.242372,-0.0695354,0.944681,0.209757,-32.6789,-65.8071,14.5389,0.807575,0.841782,-0.250053,6.98589,18.4802,1.15077
6,1516772292,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000840748,0.599963,0.000776023,-0.0880674,-0.145032,0.956952,0.235485,5.507,-71.1461,-3.07114,0.242372,-0.0695354,0.944681,0.209757,-32.6789,-65.8071,14.5389,0.807575,0.841782,-0.250053,6.98589,18.4802,1.15077
7,1516772323,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000318543,0.599963,0.00113755,-0.0882483,-0.145219,0.95671,0.236283,5.57366,-71.2135,-3.1119,0.242372,-0.0695354,0.944681,0.209757,-32.6789,-65.8071,14.5389,0.674247,0.976669,-0.168537,6.98589,18.4802,1.15077
8,1516772351,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00056519,0.599963,0.000976871,-0.0882483,-0.145219,0.95671,0.236283,5.57413,-71.2662,-3.09815,0.241947,-0.0690865,0.944956,0.209157,-32.6789,-65.8071,14.5389,0.673319,1.08195,-0.196037,6.98589,18.4802,1.15077
9,1516772353,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000439052,0.599963,0.00117772,-0.088445,-0.14517,0.956692,0.236312,5.64208,-71.2662,-3.10046,0.242436,-0.06947,0.944807,0.209137,-32.6789,-65.8071,14.5389,0.537417,1.08195,-0.191425,6.98589,18.4802,1.15077
10,1516772363,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.00068007,0.599963,0.000896532,-0.088445,-0.14517,0.956692,0.236312,5.64208,-71.2662,-3.10046,0.242436,-0.06947,0.944807,0.209137,-32.6789,-65.8071,14.5389,0.537417,1.08195,-0.191425,6.98589,18.4802,1.15077
