frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1554312352,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00144892,0.599963,0.000976871,0.0106011,-0.0844661,0.914458,0.395626,10.5001,-79.7165,-43.4702,0.15938,0.0649372,0.977892,0.118777,-107.358,-68.5328,20.7017,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
2,1554312371,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00104723,0.599963,0.000776023,0.00999952,-0.0836183,0.914718,0.395221,10.5001,-79.7165,-43.4702,0.15935,0.0654728,0.977855,0.118829,-107.281,-68.5328,20.7458,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
3,1554312377,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00156943,0.599963,0.000695683,0.00822924,-0.0834058,0.91473,0.395278,10.5001,-79.7165,-43.4702,0.15952,0.065984,0.977785,0.118894,-107.281,-68.5328,20.7458,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
4,1554312383,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00152926,0.599963,0.00109738,0.00763644,-0.0831732,0.914733,0.395333,10.5001,-79.7165,-43.4702,0.160728,0.0662385,0.977656,0.118184,-107.281,-68.5328,20.7458,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
5,1554312394,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.0020113,0.599963,5.29691e-05,0.00762684,-0.0825601,0.914988,0.39487,10.5001,-79.7165,-43.4702,0.161352,0.066314,0.977553,0.118142,-107.281,-68.5328,20.7458,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
6,1554312418,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00185062,0.599963,0.000293987,0.00644092,-0.0820954,0.914992,0.394979,10.5001,-79.7165,-43.4702,0.163809,0.0667163,0.977213,0.117347,-107.281,-68.5328,20.7458,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
7,1554312423,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00189079,0.599963,0.000816192,0.00644092,-0.0820954,0.914992,0.394979,10.5001,-79.7165,-43.4702,0.164434,0.0667913,0.977108,0.117304,-107.281,-68.5328,20.7458,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
8,1554312449,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00189079,0.599963,0.000735853,0.005261,-0.0819885,0.915255,0.39441,10.5001,-79.7165,-43.4702,0.166064,0.0671389,0.9769,0.116536,-107.203,-68.5328,20.7899,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
9,1554312454,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00221215,0.599963,0.000414496,0.00466788,-0.0817564,0.915255,0.394464,10.5001,-79.7165,-43.4702,0.166064,0.0671389,0.9769,0.116536,-107.203,-68.5328,20.7899,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
10,1554312474,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00181045,0.599963,0.000454666,0.00465977,-0.0812722,0.915253,0.39457,10.5001,-79.7165,-43.4702,0.167112,0.0673118,0.976722,0.116437,-107.125,-68.5328,20.834,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
11,1554312502,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.0016096,0.600289,0.000213648,0.00406186,-0.0807889,0.915767,0.39348,10.5001,-79.7165,-43.4702,0.167716,0.0676289,0.976686,0.115683,-106.892,-68.5328,20.966,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
12,1554312504,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00233265,0.600289,-0.000348727,0.00346843,-0.0805575,0.915767,0.393533,10.5001,-79.7165,-43.4702,0.168545,0.0679876,0.976628,0.114752,-106.757,-68.4984,21.0904,-1.04927,3.4397,-0.48242,2.99504,14.2082,8.72384
13,1554312530,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00185062,0.600126,-0.000348727,0.00343487,-0.0799663,0.9161,0.39288,10.5047,-79.7184,-43.416,0.17005,0.0681033,0.976476,0.113753,-106.211,-68.4984,21.3969,-1.05669,3.44272,-0.570628,2.99504,14.2082,8.72384
14,1554312534,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00217198,0.599963,-0.000670085,0.00343237,-0.0798417,0.916356,0.392308,10.5047,-79.7184,-43.416,0.170822,0.0689183,0.976365,0.113052,-105.977,-68.4984,21.5278,-1.05669,3.44272,-0.570628,2.99504,14.2082,8.72384
15,1554312544,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00205147,0.599963,0.000293987,0.00340947,-0.0798581,0.916434,0.392122,10.5092,-79.7202,-43.3619,0.172507,0.0688591,0.976177,0.112152,-105.742,-68.4984,21.6584,-1.06411,3.44569,-0.658842,2.99504,14.2082,8.72384
