frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1516914330,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000278373,0.600126,0.000494835,-0.0714337,0.0595662,0.954694,0.282682,52.2327,-96.1226,-17.371,0.242786,0.0166825,0.925798,0.289267,7.84381,-95.2232,-12.1249,-2.66576,-0.866058,1.55485,-3.57472,22.0845,10.421
2,1516914350,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,4.29841e-05,0.600126,0.000133308,-0.0716299,0.0596243,0.954679,0.28267,52.2948,-96.1226,-17.3925,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.78991,-0.866058,1.59783,-3.57472,22.0845,10.421
3,1516914359,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000519391,0.600126,1.27995e-05,-0.0716299,0.0596243,0.954679,0.28267,52.2948,-96.1226,-17.3925,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.78991,-0.866058,1.59783,-3.57472,22.0845,10.421
4,1516914369,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000519391,0.600126,1.27995e-05,-0.0716299,0.0596243,0.954679,0.28267,52.2948,-96.1226,-17.3925,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.78991,-0.866058,1.59783,-3.57472,22.0845,10.421
5,1516914395,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.000284002,0.600126,0.000494835,-0.0716299,0.0596243,0.954679,0.28267,52.2948,-96.1226,-17.3925,0.243927,0.0165819,0.925489,0.289299,7.84381,-95.2232,-12.1249,-2.78991,-0.866058,1.59783,-3.57472,22.0845,10.421
6,1516914400,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000519391,0.600126,-0.000629915,-0.0716411,0.0594894,0.954863,0.282073,52.2962,-96.1768,-17.3882,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.78991,-0.866058,1.59783,-3.57472,22.0845,10.421
7,1516914423,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.0006399,0.600126,1.27995e-05,-0.0721947,0.059835,0.954764,0.282193,52.2788,-96.1878,-17.4385,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.75803,-0.735733,1.68985,-3.57472,22.0845,10.421
8,1516914438,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.0006399,0.600126,1.27995e-05,-0.0721947,0.059835,0.954764,0.282193,52.2788,-96.1878,-17.4385,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.75803,-0.735733,1.68985,-3.57472,22.0845,10.421
9,1516914441,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000720239,0.600126,1.27995e-05,-0.0721947,0.059835,0.954764,0.282193,52.2788,-96.1878,-17.4385,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.75803,-0.735733,1.68985,-3.57472,22.0845,10.421
10,1516914467,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000238203,0.600126,-0.000308558,-0.072391,0.059893,0.954749,0.282181,52.3409,-96.1878,-17.46,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-2.88213,-0.735733,1.73287,-3.57472,22.0845,10.421
11,1516914476,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000398882,0.600126,-0.000228218,-0.072391,0.059893,0.954749,0.282181,52.3409,-96.1878,-17.46,0.243927,0.0165819,0.925489,0.289299,7.84381,-95.2232,-12.1249,-2.88213,-0.735733,1.73287,-3.57472,22.0845,10.421
12,1516914488,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000519391,0.600126,9.31388e-05,-0.0725759,0.0600865,0.95455,0.282765,52.4029,-96.1878,-17.4815,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.00622,-0.735733,1.77594,-3.57472,22.0845,10.421
13,1516914511,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,2.81447e-06,0.600126,0.000535005,-0.073186,0.0599058,0.954504,0.282803,52.4029,-96.1878,-17.4815,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.00622,-0.735733,1.77594,-3.57472,22.0845,10.421
14,1516914527,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-7.75248e-05,0.600126,0.000494835,-0.0725873,0.059951,0.954735,0.282168,52.4029,-96.1878,-17.4815,0.243277,0.0164705,0.925469,0.289917,7.84381,-95.2232,-12.1249,-3.00622,-0.735733,1.77594,-3.57472,22.0845,10.421
15,1516914545,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000198034,0.600126,0.000374326,-0.0722152,0.0597634,0.954702,0.282413,52.4475,-96.1987,-17.5534,0.243927,0.0165819,0.925489,0.289299,7.84381,-95.2232,-12.1249,-3.09531,-0.713898,1.91961,-3.57472,22.0845,10.421
16,1516914552,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000198034,0.600126,-0.000147879,-0.0722152,0.0597634,0.954702,0.282413,52.4489,-96.2529,-17.5491,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.09531,-0.713898,1.91961,-3.57472,22.0845,10.421
17,1516914566,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000117694,0.600126,-0.000147879,-0.0722039,0.0598986,0.954518,0.28301,52.4489,-96.2529,-17.5491,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.09827,-0.605453,1.91109,-3.57472,22.0845,10.421
18,1516914592,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.0006399,0.600126,-0.000147879,-0.0729726,0.060117,0.954646,0.282332,52.5109,-96.2529,-17.5707,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.22228,-0.605453,1.95425,-3.57472,22.0845,10.421
19,1516914606,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.00068007,0.600126,5.29691e-05,-0.0731688,0.060175,0.954631,0.28232,52.5729,-96.2529,-17.5923,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.34628,-0.605453,1.99746,-3.57472,22.0845,10.421
20,1516914636,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000198034,0.600126,5.29691e-05,-0.0728041,0.0599375,0.954657,0.282377,52.6349,-96.2529,-17.6139,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.47025,-0.605453,2.04072,-3.57472,22.0845,10.421
21,1516914638,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000198034,0.600126,5.29691e-05,-0.0728041,0.0599375,0.954657,0.282377,52.6349,-96.2529,-17.6139,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.47025,-0.605453,2.04072,-3.57472,22.0845,10.421
22,1516914673,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000559561,0.600126,0.000293987,-0.073554,0.0603412,0.954543,0.282484,52.6793,-96.2638,-17.6858,0.243277,0.0164705,0.925469,0.289917,7.84381,-95.2232,-12.1249,-3.55907,-0.583664,2.18453,-3.57472,22.0845,10.421
23,1516914689,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,8.31538e-05,0.600126,-0.000750424,-0.0729929,0.0600458,0.954584,0.282553,52.6793,-96.2638,-17.6858,0.243335,0.016397,0.925645,0.28931,7.84381,-95.2232,-12.1249,-3.55907,-0.583664,2.18453,-3.57472,22.0845,10.421
24,1516914712,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,-0.000479221,0.599799,0.000816192,-0.0731892,0.0601038,0.954569,0.28254,52.7428,-96.318,-17.7033,0.243927,0.0165819,0.925489,0.289299,7.84381,-95.2232,-12.1249,-3.68593,-0.475204,2.21941,-3.57472,22.0845,10.421
25,1516914719,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.000203663,0.599799,0.00169992,-0.0732006,0.059968,0.954753,0.281944,52.7442,-96.3723,-17.699,0.243868,0.0166558,0.925314,0.289906,7.84381,-95.2232,-12.1249,-3.68593,-0.475204,2.21941,-3.57472,22.0845,10.421
26,1516914729,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.000203663,0.599799,0.00169992,-0.0737619,0.060263,0.954712,0.281874,52.7442,-96.3723,-17.699,0.243277,0.0164705,0.925469,0.289917,7.84381,-95.2232,-12.1249,-3.68888,-0.36676,2.21097,-3.57472,22.0845,10.421
27,1516914753,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,4.29841e-05,0.599799,0.00145891,-0.0739582,0.0603209,0.954696,0.281862,52.8062,-96.3723,-17.7207,0.243868,0.0166558,0.925314,0.289906,7.84381,-95.2232,-12.1249,-3.68888,-0.36676,2.21097,-3.57472,22.0845,10.421
