frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1554713990,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.000806207,0.600289,-0.000911102,-0.117265,-0.108163,0.959571,0.231893,-12.1115,-73.726,-5.0152,0.245067,0.0314479,0.968771,-0.0208799,-29.8844,-64.3583,59.6125,-8.69311,1.71478,5.02177,0,0,0
2,1554714012,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00100706,0.600126,-0.000589745,-0.118896,-0.109827,0.959503,0.230554,-12.2458,-73.726,-5.02522,0.244628,0.0318984,0.968866,-0.0209479,-29.8844,-64.3583,59.6125,-8.47417,1.71478,5.03809,0,0,0
3,1554714017,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.000846377,0.599963,-0.000348727,-0.119377,-0.110252,0.959597,0.229712,-12.313,-73.726,-5.03026,0.24419,0.0323488,0.96896,-0.021016,-29.8844,-64.3583,59.6125,-8.47417,1.71478,5.03809,0,0,0
4,1554714030,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.0012079,0.599963,-6.75398e-05,-0.119858,-0.110673,0.95969,0.22887,-12.3801,-73.726,-5.03534,0.243752,0.0327992,0.969054,-0.0210841,-29.8844,-64.3583,59.6125,-8.25524,1.71478,5.0546,0,0,0
5,1554714051,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00136858,0.599963,0.000173478,-0.120814,-0.111726,0.959712,0.22776,-12.5144,-73.726,-5.04558,0.243313,0.0332496,0.969147,-0.0211521,-29.8844,-64.3583,59.6125,-8.03632,1.71478,5.07128,0,0,0
6,1554714060,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00140875,0.599963,0.000133308,-0.120265,-0.111803,0.959933,0.227082,-12.5144,-73.726,-5.04558,0.243313,0.0332496,0.969147,-0.0211521,-29.8844,-64.3583,59.6125,-8.03632,1.71478,5.07128,0,0,0
7,1554714070,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.0012079,0.599963,0.000213648,-0.121299,-0.111919,0.959964,0.226338,-12.5816,-73.726,-5.05074,0.243288,0.0331312,0.969143,-0.0217797,-29.8844,-64.3583,59.6125,-7.92687,1.71478,5.07969,0,0,0
8,1554714091,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00144892,0.599963,5.29691e-05,-0.121364,-0.112138,0.960108,0.225587,-12.5816,-73.726,-5.05074,0.242874,0.0337,0.96924,-0.0212201,-29.8844,-64.3583,59.6125,-7.92687,1.71478,5.07969,0,0,0
9,1554714099,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00112756,0.599963,-0.000429067,-0.121225,-0.112623,0.960114,0.225391,-12.6487,-73.726,-5.05593,0.242849,0.0335813,0.969236,-0.0218477,-29.8844,-64.3583,59.6125,-7.92687,1.71478,5.07969,0,0,0
10,1554714111,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00112756,0.599963,-0.000429067,-0.121244,-0.112583,0.960162,0.225198,-12.6528,-73.712,-5.00357,0.24241,0.0340314,0.969329,-0.0219157,-29.8844,-64.3583,59.6125,-7.81742,1.71478,5.08815,0,0,0
11,1554714131,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00144892,0.599963,-0.000107709,-0.121863,-0.112505,0.960245,0.224548,-12.6528,-73.712,-5.00357,0.241958,0.0345279,0.969432,-0.0215791,-29.8746,-64.437,59.5382,-7.8108,1.69199,5.00281,0,0,0
12,1554714142,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00144892,0.599963,0.000454666,-0.122477,-0.112648,0.960167,0.224477,-12.6528,-73.712,-5.00357,0.241519,0.0349778,0.969524,-0.021647,-29.8746,-64.437,59.5382,-7.8108,1.69199,5.00281,0,0,0
13,1554714152,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00197113,0.599963,-6.75398e-05,-0.121922,-0.112943,0.960227,0.224375,-12.6528,-73.712,-5.00357,0.241073,0.0354507,0.969621,-0.0215127,-29.8698,-64.4763,59.5011,-7.8108,1.69199,5.00281,0,0,0
14,1554714171,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00181045,0.599963,0.000133308,-0.121927,-0.112719,0.960387,0.223798,-12.6528,-73.712,-5.00357,0.240626,0.0359234,0.969717,-0.0213783,-29.8649,-64.5157,59.4639,-7.8108,1.69199,5.00281,0,0,0
15,1554714182,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00181045,0.599963,-6.75398e-05,-0.121372,-0.113014,0.960446,0.223696,-12.6528,-73.712,-5.00357,0.240653,0.0360436,0.96972,-0.0207511,-29.8649,-64.5157,59.4639,-7.8108,1.69199,5.00281,0,0,0
16,1554714193,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00116773,0.599963,-0.000228218,-0.12254,-0.112863,0.960309,0.223725,-12.6528,-73.712,-5.00357,0.241272,0.0360303,0.969566,-0.0207741,-29.8649,-64.5157,59.4639,-7.8108,1.69199,5.00281,0,0,0
17,1554714213,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00140875,0.599963,-0.000107709,-0.121792,-0.112978,0.960554,0.223023,-12.7199,-73.712,-5.00879,0.24104,0.0370382,0.969596,-0.0203073,-29.8649,-64.5157,59.4639,-7.70132,1.69199,5.01132,0,0,0
18,1554714222,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00168994,0.599963,-6.75398e-05,-0.121237,-0.113272,0.960613,0.222921,-12.7199,-73.712,-5.00879,0.240628,0.03761,0.969687,-0.0197489,-29.8649,-64.5157,59.4639,-7.70132,1.69199,5.01132,0,0,0
19,1554714232,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00108739,0.599963,0.000655514,-0.121237,-0.113272,0.960613,0.222921,-12.7199,-73.712,-5.00879,0.240808,0.0380477,0.969624,-0.0198419,-29.8649,-64.5157,59.4639,-7.70132,1.69199,5.01132,0,0,0
20,1554714260,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00209164,0.599963,0.000735853,-0.12013,-0.113634,0.96089,0.22214,-12.7199,-73.712,-5.00879,0.242102,0.0382687,0.969317,-0.0186373,-29.8649,-64.5157,59.4639,-7.70132,1.69199,5.01132,0,0,0
