frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
1,1555102536,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00618894,0.599799,0.00153925,0.119742,0.197013,0.912439,0.338088,-31.426,-101.275,-34.297,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,-5.5431,-11.3352,-3.94149,0,0,0
2,1555102555,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599963,0.00707267,0.599799,0.00157942,0.120654,0.196947,0.912066,0.338807,-31.7007,-101.221,-34.3654,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,-5.09529,-11.4238,-3.83011,0,0,0
3,1555102581,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,1,0.599963,0.00691199,0.599799,0.00194094,0.123522,0.19592,0.911747,0.339226,-32.5368,-101.056,-34.5211,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,-4.18107,-11.6923,-3.6848,0,0,0
4,1555102610,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164608,0.677633,0.679103,-0.22921,0.0998163,-0.0660231,-0.111563,1,0.599963,0.00675132,0.599799,0.00153925,0.125679,0.194866,0.911775,0.338966,-32.989,-101,-34.5797,0.0759723,0.7701,-0.598765,0.206529,20.1668,-134.996,-3.48032,-2.99537,-11.7839,-3.48079,0,0,0
5,1555102624,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.163749,0.677946,0.67902,-0.229147,0.0998327,-0.0660679,-0.111551,1,0.599963,0.00679148,0.599963,0.00169992,0.125894,0.194517,0.911998,0.338488,-33.044,-101,-34.5932,0.0759723,0.7701,-0.598765,0.206529,20.1668,-134.996,-3.48032,-2.90571,-11.7839,-3.45866,0,0,0
6,1555102648,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.155499,0.678666,0.679875,-0.230225,0.0998937,-0.0662853,-0.111549,1,0.599963,0.0070325,0.599963,0.00121789,0.12722,0.194002,0.911819,0.33877,-33.264,-101,-34.6478,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,-2.54718,-11.7839,-3.36977,0,0,0
7,1555102664,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.15093,0.678674,0.680637,-0.230988,0.0999134,-0.0663369,-0.111561,1,0.599963,0.00671115,0.600126,0.00129823,0.128546,0.193486,0.911638,0.339051,-33.4838,-101,-34.7027,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,-2.1888,-11.7839,-3.2803,0,0,0
8,1555102674,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.145452,0.678539,0.681633,-0.231958,0.0999326,-0.0663777,-0.11158,1,0.599963,0.00647013,0.600616,-0.000147879,0.130246,0.19283,0.911402,0.33941,-33.8135,-101,-34.7857,0.076428,0.770354,-0.598212,0.207018,20.1668,-134.996,-3.48032,-1.6515,-11.7839,-3.14497,0,0,0
9,1555102697,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.123615,0.677031,0.685987,-0.236156,0.0999851,-0.0664336,-0.111668,1,0.599963,0.00655047,0.599473,0.00198111,0.132296,0.191519,0.91154,0.338989,-34.5682,-101.001,-35.0351,0.0759723,0.7701,-0.598765,0.206529,20.1668,-134.996,-3.48032,-0.421329,-11.7808,-2.73839,0,0,0
10,1555102714,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.118687,0.676529,0.687009,-0.237152,0.0999937,-0.0664328,-0.11169,1,0.599963,0.00667098,0.598983,0.00306569,0.132124,0.191341,0.911811,0.338427,-34.6778,-101.001,-35.0636,0.0760456,0.770486,-0.598261,0.206525,20.1668,-134.996,-3.48032,-0.242637,-11.7808,-2.69198,0,0,0
